Sector,Project Name,Type,URL,Date,File Size
Budovy,Optimalizácia priestorového zabezpečenia v rezorte zdravotníctva,hodnotenie,https://www.mfsr.sk/files/archiv/83/Hodnotenie_Najom_MZSR_20250702.pdf,2.7.2025,444 kB
Budovy,Rekonštrukcia internátu Hviezda (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/budovy/hodnotenie_hviezda_aktualizacia_pred_podpisom.pdf,30.5.2025,140 kB
Budovy,Rekonštrukcia internátu Hviezda (aktualizácia pred podpisom zmluvy),štúdia uskutočniteľnosti,https://www.mosr.sk/data/att/164039.pdf,,132 kB
Budovy,Reforma súdnej mapy v Bratislave (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_pred_podpisom_mss_bratislava.pdf,15.10.2024,176 kB
Budovy,Rekonštrukcia internátu Hviezda,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rekonstrukcia_internatu_hviezda.pdf,22.8.2024,461 kB
Budovy,Rekonštrukcia internátu Hviezda,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5500_tus_rekonstrukcia-internatu-hviezda.pdf,,
Budovy,Reforma súdnej mapy v Bratislave (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_mestsky-sud-ba-iii-iv.pdf,26.7.2024,192 kB
Budovy,Rekonštrukcia kaštieľa v Rusovciach (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_rusovce_aktualizacia_pred_podpisom.pdf,2.7.2024,173 kB
Budovy,Koncepcia rozvoja Fakultnej nemocnice s poliklinikou F. D. Roosevelta Banská Bystrica (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/aktualizacia_fnsp-bb.pdf,27.6.2024,183 kB
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia pred podpisom zmluvy),analýza,https://www.mfsr.sk/files/archiv/45/Aktualizacia3_nUNM_20240605.pdf,5.6.2024,170 kB
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia pred podpisom zmluvy),štúdia uskutočniteľnosti,https://www.unm.sk/storage/app/uploads/public/665/d6b/988/665d6b9889bf2401837114.pdf,,
Budovy,"Prenájom priestorov pre Ministerstvo školstva, výskumu, vývoja a mládeže SR",analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/hodnotenie_prenajom-priestorov-msvvam.pdf,13.3.2024,321 kB
Budovy,Rekonštrukcia Nemocnice Poprad (aktualizácia pred podpisom zmluvy),analýza,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/budovy/nemocnica_poprad_hodnotenie-uhp_aktualizacia-pred-podpisom.pdf,7.2.2024,158 kB
Budovy,FN Žilina – Výstavba nového pavilónu urgentnej medicíny,analýza,https://www.mfsr.sk/files/archiv/80/Hodnotenie_FN-Zilina.pdf,3.11.2023,
