Sector,Project Name,Type,URL,Date,File Size
Doprava,Zvýšenie priepustnosti trate Bratislava – Dunajská Streda – Komárno (doplnenie),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie_bratislava_dunajska-streda_komarno.pdf,2.9.2025,581 kB
Doprava,Modernizácia ležadlových vozňov pre nočnú dopravu,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie-zssk-lezadlove-vozne_20250828.pdf,28.8.2025,356 kB
Doprava,Nákup elektrických jednotiek pre linku Bratislava - Žilina (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/aktualizacia-hodnotenia-zssk-4-ej-560_20250605.pdf,5.6.2025,163 kB
Doprava,Nákup elektrických jednotiek pre linku Bratislava - Žilina (aktualizácia),,https://www.zssk.sk/wp-content/uploads/2025/06/SU-Obstaranie-4-ks-EJ_FINAL_akt.-odporucania-UHP-akt.-INV.pdf,,34 MB
Doprava,"D1 Beharovce – Branisko, 2. profil",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie_d1_beharovce-branisko.pdf,14.5.2025,512 kB
Doprava,Obstaranie batériových elektrických jednotiek pre regionálnu dopravu,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_hybridne-vozidla.pdf,13.3.2025,636 kB
Doprava,Obstaranie batériových elektrických jednotiek pre regionálnu dopravu,štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2025/02/SU-Obstaranie-hybridnych-EJ-pre-regionalnu-dopravu_FINAL.pdf,,"1,6 MB"
Doprava,Nákup elektrických jednotiek do diaľkovej dopravy (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia_hodnotenia_zssk_dialkove_supravy.pdf,13.3.2025,135 kB
Doprava,Nákup elektrických jednotiek do diaľkovej dopravy (aktualizácia),,https://www.zssk.sk/wp-content/uploads/2025/02/Priloha-6-Formular-na-aktualizaciu-studie-uskutocnitelnosti-pred-vyhlasenim-verejneho-obstaravania-1-2.pdf,,134 kB
Doprava,Nákup lôžkových vozňov (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia-zssk-lozkove-vozne_20250303.pdf,3.3.2025,170 kB
Doprava,Nákup lôžkových vozňov (aktualizácia),štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2025/02/Priloha-6-Formular-na-aktualizaciu-studie-uskutocnitelnosti-pred-vyhlasenim-verejneho-obstaravania-1.pdf,,116 kB
Doprava,Nákup 4 elektrických jednotiek pre linku Bratislava – Žilina,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-4-ej-560.pdf,14.1.2025,432 kB
Doprava,Nákup 4 elektrických jednotiek pre linku Bratislava – Žilina,štúdia uskutočniteľnosti,https://www.zssk.sk/wp-content/uploads/2024/12/SU-Obstaranie-4-ks-EJ.pdf,,
Doprava,"I/15 Stropkov, preložka cesty (aktualizácia)",hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia_i15-stropkov-prelozka.pdf,13.11.2024,120 kB
Doprava,R4 štátna hranica PL/SK – Kapušany,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-r4_uhp.pdf,11.11.2024,396 kB
Doprava,Koridor D1 Bidovce – štátna hranica SK/UA,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_d1-bidovce-statna-hranica-sk_ua.pdf,11.11.2024,"1,13 MB"
Doprava,Prenájom elektrických rušňov do diaľkovej dopravy (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie-zssk-prenajom-rusnov_aktualizacia.pdf,9.9.2024,188 kB
Doprava,Prenájom elektrických rušňov do diaľkovej dopravy (aktualizácia),,https://www.zssk.sk/wp-content/uploads/2024/09/Formular-na-aktualizaciu-studie-uskutocnitelnosti-pred-vyhlasenim-verejneho-obstaravania.pdf,,130 kB
