Sector,Project Name,Type,URL,Date,File Size
Informatizacia,Infraštruktúra pre elektronickú fakturáciu,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_iinfrastruktura-efaktura.pdf,12.9.2025,181 kB
Informatizacia,Infraštruktúra pre elektronickú fakturáciu,štúdia uskutočniteľnosti,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/i-02_projektovy_zamer_projekt_efa_public.pdf,,"2,26 MB"
Informatizacia,Distribuovaný informačný ekosystém pre udržateľný rast a prax špecialistov informačných a komunikačných technológií (rozvoj NetAcad),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_netacad.pdf,20.8.2025,185 kB
Informatizacia,Informačný systém FARMÁR (aktualizácia),hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/is_farmar_aktualizacia-hodnotenia.pdf,20.8.2025,152 kB
Informatizacia,SLA zmluva pre Jednotný informačný systém v cestnej doprave (JISCD),hodnotenie,https://www.mfsr.sk/files/archiv/54/Hodnotenie_JISCD_SLA.pdf,29.7.2025,164 kB
Informatizacia,Centrálna integračná platforma MZ SR,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_cip_20250709.pdf,9.7.2025,216 kB
Informatizacia,Modernizácia Platformy pre rozvoj a riešenie prioritných životných situácií,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/slovensko-sk-3-0_hodnotenie_uhp_03072025.pdf,3.7.2025,161 kB
Informatizacia,Národný integrovaný cestovný lístok (aktualizácia),hodnotenie,https://www.mfsr.sk/files/archiv/28/Aktualizacia-hodnotenia_NICL.pdf,13.6.2025,131 kB
Informatizacia,Kybernetická bezpečnosť v samospráve do 6 000 obyvateľov,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_kyberneticka-bezpecnost-samosprave-do-6-000-obyvatelov.pdf,4.6.2025,255 kB
Informatizacia,Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum - lokalita Technická univerzita Košice,hodnotenie,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/aktualizacia-hodnotenia_superpocitac_tuke.pdf,14.5.2025,140 kB
