Sector,Project Name,Type,URL,Date,File Size
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia pred podpisom zmluvy),hodnotenie,https://www.mfsr.sk/files/archiv/28/mo_sliac_aktualizacia_zmluva_20250123.pdf,23.1.2025,140 kB
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia pred podpisom zmluvy),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5761_priloha-7-formular-na-aktualizaciu-studie-uskutocnitelnosti-pred-vytvorenim-zavazku-podpisom-zmluvy-final.pdf,,
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia),hodnotenie,https://www.mfsr.sk/files/archiv/28/MO_Sliac_aktualizacia_20241004.pdf,4.10.2024,165 kB
Obrana,Rekonštrukcia leteckej základne Sliač (aktualizácia),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5691_semai-195-20-2024.pdf,,
Obrana,"Obstaranie útočnej pušky 5,56 mm s príslušenstvom",hodnotenie,https://www.mfsr.sk/files/archiv/48/UHP_Hodnotenie_Utocne-pusky.pdf,18.10.2023,405 kB
Obrana,"Obstaranie útočnej pušky 5,56 mm s príslušenstvom",štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5222_tudia-uskutocnitelnosti-obstarania-556mm-utocnej-pusky-s-prislusenstvom.pdf,,
Obrana,Akvizícia palebných prostriedkov protivzdušnej obrany – prvá etapa (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/6/UHP_MO_Aktualizacia_PVO.pdf,19.9.2023,692 kB
Obrana,Akvizícia palebných prostriedkov protivzdušnej obrany – prvá etapa (aktualizácia),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5202_formular-na-aktualizaciu-studie-uskutocnitelnosti-obstarania-pp-pvo-prva-etapa.pdf,,
Obrana,Obstarávanie stavby na leteckej základni Sliač,analýza,https://www.mfsr.sk/files/archiv/51/LZ-Sliac_hodnotenie_UHP.pdf,9.6.2023,361 kB
Obrana,Obstarávanie stavby na leteckej základni Sliač,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5064_zverejnenie-studie-uskutocnitelnosti-obstaravania-stavby-na-leteckej-zakladni-sliac.pdf,,
Obrana,Akvizícia prostriedkov protivzdušnej obrany (projektový zámer),analýza,https://www.mfsr.sk/files/archiv/93/Hodnotenie_PVO.pdf,27.4.2023,425 kB
Obrana,Akvizícia prostriedkov protivzdušnej obrany (projektový zámer),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/5029_tudia-uskutocnitelnosti-obstarania-pp-pvo-.pdf,,"1,14 MB"
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/86/MO_Aktualizacia_PBOV_20221212.pdf,12.12.2022,"1,05 MB"
Obrana,Aktualizácia hodnotenia projektu Bojových obrnených vozidiel 8x8,analýza,https://www.mfsr.sk/files/archiv/68/Aktualizacia_BOV8x8_20220824.pdf,5.9.2022,470 kB
Obrana,Aktualizácia hodnotenia projektu Bojových obrnených vozidiel 8x8,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4801_tudia-uskutocnitelnosti-pre-obstaranie-bov-8x8-ver-12.pdf,,"3,46 MB"
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel,analýza,https://www.mfsr.sk/files/archiv/56/Hodnotenie_PBOV_a_POV_20220628.pdf,28.6.2022,758 kB
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4770_tudia-uskutocnitelnosti-pbov-a-pov.pdf,,"2,88 MB"
Obrana,Obstaranie Bojových obrnených vozidiel 8x8 (aktualizácia),analýza,https://www.mfsr.sk/files/archiv/77/Hodnotenie_BOV8x8_20220330.pdf,30.3.2022,888 kB
Obrana,Obstaranie Bojových obrnených vozidiel 8x8 (aktualizácia),štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4664_tudia_uskutocnitelnosti_obstarania_bov_8x8.pdf,,"2,4 MB"
Obrana,Obstaranie Bojových obrnených vozidiel 8x8,analýza,https://www.mfsr.sk/files/archiv/2/Hodnotenie_BOV8x8_20210908.pdf,8.9.2021,349 kB
Obrana,Obstaranie Pásových bojových obrnených vozidiel a Pásových obrnených vozidiel (projektový zámer),analýza,https://www.mfsr.sk/files/archiv/65/Hodnotenie_PBOV_20210908.pdf,8.9.2021,273 kB
Obrana,Viacúčelové vrtuľníky UH-60M Black Hawk pre plnenia úloh síl špeciálneho určenia,analýza,https://www.mfsr.sk/files/archiv/29/Hodnotenie_Black_Hawk_SOF.pdf,2.6.2021,334  kB
Obrana,Viacúčelové vrtuľníky UH-60M Black Hawk pre plnenia úloh síl špeciálneho určenia,štúdia uskutočniteľnosti,https://www.mosr.sk/data/files/4378_tudia-uskutocnitelnosti-uh-60m-pre-sso-fondy-usg.pdf,,
Obrana,"Obmena rádiolokačnej techniky VzS OS SR (stredný, malý a blízky dosah)",,https://www.mfsr.sk/files/archiv/15/Aktualizaciahodnotenia3DRadary_20210324.pdf,25.3.2021,74  kB
Obrana,"Obmena rádiolokačnej techniky VzS OS SR (stredný, malý a blízky dosah)",analýza,https://www.mfsr.sk/files/archiv/61/Hodnotenie_3DRadary_20210112.pdf,12.1.2021,304  kB
Obrana,Hodnotenie nákupu viacúčelových taktických lietadiel,,https://www.mfsr.sk/files/archiv/uhp/3370/76/Hodnotenie-nakupu-viacucelovych-taktickych-lietadiel.pdf,,
Obrana,Nákup bojových obrnených vozidiel 8x8 a 4x4,analýza,https://www.mfsr.sk/files/archiv/uhp/3370/76/Hodnotenie_bov-4x4-8x8_uhp.pdf,15.11.2017,438 kB
