Sector,Project Name,Project Name_English,Analysis,Analysis Information Extracted,Type,Type English,URL,Date,File Size,Document_ID,Project_ID,Feasibility Study Type,Recommendation,Description of Recommendation,Feasibility_Study_Complete,EIIR_Estimated,EIIR_Above_Viable,Climate Change Mentioned,LLM Model Used
Budovy,Nová univerzitná nemocnica v Bratislave,New University Hospital in Bratislava,,,Grafy a tabuľky,Graphs and tables,https://www.mfsr.sk/files/archiv/uhp/3370/76/UNB_MFSR_podkladove_data_170403.xlsx,03.04.2017,66 kB,3.001,SLK_BD-034,XLSX,,,,,,,
Budovy,Nová univerzitná nemocnica v Bratislave,New University Hospital in Bratislava,,,analýza,analysis,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_UNB_170403_2.pdf,03.04.2017,668 kB,3.002,SLK_BD-034,,Positive,"The Ministry of Finance of the Slovak Republic states that the project brings value for money with a net present value (NPV) of 289 million euros. The investment is expected to be financially returned by 2032, with significant improvements in hospital management and healthcare outcomes, including a projected reduction in avoidable mortality in the Bratislava region by 5% by 2030. The hybrid financing model with a private manager is considered more cost-effective than PPP or full state management.",Not specified,Net present value (NPV) of 289 million euros; no explicit EIIR or benefit-cost ratio provided,"Yes - The project is expected to be profitable, with a positive NPV and operational profit after completion. The financial return is projected by 2032, and the project is less sensitive to construction cost overruns.",No,gpt-4.1
Budovy,Rekonštrukcia Fakultnej nemocnice s poliklinikou v Banskej Bystrici,Reconstruction of the Faculty Hospital with Polyclinic in Banská Bystrica,,,analýza,analysis,https://www.mfsr.sk/files/archiv/13/stanovisko_fnsbb_20190128_publish.pdf,28.1.2019,264 kB,3.003,SLK_BD-032,,,,,,,,
Budovy,"Rekonštrukcia a dobudovanie fakúlt STU a UK - Advancing University Capacity and Competence in Research, Development and Innovation (ACCORD)","Reconstruction and completion of STU and UK faculties - Advancing University Capacity and Competence in Research, Development and Innovation (ACCORD)",,,analýza,analysis,https://www.mfsr.sk/files/archiv/9/ACCORD_hodnotenie_190910.pdf,10.9.2019,376 kB,3.004,SLK_BD-031,,,,,,,,
Budovy,Výstavba novej univerzitnej nemocnice v Martine,Construction of a new university hospital in Martin,,,analýza,analysis,https://www.mfsr.sk/files/archiv/62/Hodnotenie_UNM_20220225.pdf,25.2.2022,378 kB,3.005,SLK_BD-029,,,,,,,,
Budovy,Administratívna budova Úradu vlády Slovenskej republiky „Čajka“,"Administrative building of the Office of the Government of the Slovak Republic ""Cajka""",,,analýza,analysis,https://www.mfsr.sk/files/archiv/66/Hodnotenie_Cajka20220728_PDF.pdf,28.7.2022,653 kB,3.006,SLK_BD-028,,,,,,,,
Budovy,"Zjednotenie priestorov Ministerstva investícií, regionálneho rozvoja a informatizácie Slovenskej republiky","Unification of the premises of the Ministry of Investments, Regional Development and Informatization of the Slovak Republic",,,analýza,analysis,https://www.mfsr.sk/files/archiv/44/Hodnotenie-MIRRI_210908_clean.pdf,9.8.2022,236 kB,3.007,SLK_BD-027,,,,,,,,
Budovy,Rozvoj Fakultnej nemocnice s poliklinikou F.D. Roosevelta Banská Bystrica,Development of the Faculty Hospital by the F.D. Roosevelt Banská Bystrica,,,analýza,analysis,https://www.mfsr.sk/files/archiv/28/UHP_FNsPBB-hodnotenie_20221005.pdf,7.10.2022,449 kB,3.008,SLK_BD-026,,,,,,,,
Budovy,Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,Complex reconstruction of the historical building of the Slovak National Theatre,,,analýza,analysis,https://www.mfsr.sk/files/archiv/91/Hodnotenie_SND_FINAL.pdf,7.11.2022,544 kB,3.009,SLK_BD-025,,Positive,"The Ministry of Finance of the Slovak Republic (MF SR) recommends proceeding with the project, highlighting the necessity of the investment due to the poor technical condition of the building and equipment. The analysis finds the reconstruction to be the most advantageous alternative compared to more expensive options. The recommendation includes suggestions to optimize costs and increase the use of the building.",No,Benefit-Cost Ratio: 0.29,"No - The benefit-cost ratio is 0.29, which is considered economically non-viable according to the current methodology. However, the analysis notes that non-quantifiable benefits such as social identity, mental health, critical thinking, tourism development, and cultural accessibility are not included in this ratio.",No,gpt-4.1
Budovy,Výstavba novej univerzitnej nemocnice v Martine (aktualizácia),Construction of the new university hospital in Martin (update),,,analýza,analysis,https://www.mfsr.sk/files/archiv/41/Aktualizacia_nUNM_20221209.pdf,9.12.2022,225 kB,3.01,SLK_BD-024,,Neutral,"The assessment highlights significant risks (notably schedule risk to meet PNRR/POO milestone 06/2026 and rising costs) and provides multiple conditions and optimization measures before procurement. It urges not exceeding the government-approved cost cap (Resolution No. 441/2022), allowing technical design flexibility to reduce costs (e.g., façade/structure, internal layout, overall area), potential savings in the underground parking, adjusting price indexation to allow downward revisions, accelerating permitting and preparation, updating the schedule, and clarifying financing. The tone is conditional rather than an outright positive or negative endorsement.",Not specified,Not specified,"Not specified - The document does not provide an EIIR or a benefit-cost ratio, so viability against any threshold cannot be assessed.",No,gpt-5
