Project_Name,First_File_Document_ID,First_File_URL,First_File_Type,Total_Documents_in_Project,Other_Documents_Count,Other_Document_Types,Other_Document_IDs,Sector
Administratívna budova Úradu vlády Slovenskej republiky „Čajka“,3.006,https://www.mfsr.sk/files/archiv/66/Hodnotenie_Cajka20220728_PDF.pdf,analýza,1,0,None,None,Budovy
Aktualizácia hodnotenia projektu Bojových obrnených vozidiel 8x8,4.009,https://www.mfsr.sk/files/archiv/68/Aktualizacia_BOV8x8_20220824.pdf,analýza,2,1,štúdia uskutočniteľnosti,4.026,Obrana
Akvizícia palebných prostriedkov protivzdušnej obrany – prvá etapa (aktualizácia),4.013,https://www.mfsr.sk/files/archiv/6/UHP_MO_Aktualizacia_PVO.pdf,analýza,2,1,štúdia uskutočniteľnosti,4.022,Obrana
Akvizícia prostriedkov protivzdušnej obrany (projektový zámer),4.011,https://www.mfsr.sk/files/archiv/93/Hodnotenie_PVO.pdf,analýza,2,1,štúdia uskutočniteľnosti,4.028,Obrana
Atlas pasívnej infraštruktúry,2.037,https://www.mfsr.sk/files/archiv/62/API_UHP_hodnotenie_20190611.pdf,analýza,1,0,None,None,Informatizacia
Budova Najvyššieho súdu SR,3.021,https://www.mfsr.sk/files/archiv/78/Hodnotenie_UHP_NS-SR.pdf,analýza,2,1,štúdia uskutočniteľnosti,3.04,Budovy
Centrum ochrany kritickej infraštruktúry a podpora činností v oblasti krízového riadenia Slovenskej republiky v gescii MH SR,2.038,https://www.mfsr.sk/files/archiv/27/MH_SR_Krit_infra_UHP_hodnotenie_190701.pdf,analýza,1,0,None,None,Informatizacia
Centrálna API Manažment Platforma,2.021,https://www.mfsr.sk/files/archiv/63/API_GW_UHP_hodnotenie_20190220.pdf,analýza,1,0,None,None,Informatizacia
Centrálna integračná platforma MZ SR,2.1,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_cip_20250709.pdf,hodnotenie,1,0,None,None,Informatizacia
Centrálna rámcová dohoda SAP - dodatok č. 1 (aktualizácia),2.086,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/hodnotenie_dodatok_sap.pdf,hodnotenie,1,0,None,None,Informatizacia
Centrálny ekonomický systém,2.001,https://www.mfsr.sk/files/archiv/uhp/3370/76/stanovisko_CES_VfM_170503.pdf,analýza,1,0,None,None,Informatizacia
Centrálny ekonomický systém – dodatok č. 3 (aktualizácia),2.082,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/aktualizacia_hodnotenia_ces.pdf,hodnotenie,1,0,None,None,Informatizacia
Centrálny systém súdneho riadenia,2.035,https://www.mfsr.sk/files/archiv/19/CSSR_UHP_hodnotenie_20190611.pdf,analýza,1,0,None,None,Informatizacia
Cesta I/75 Šaľa – obchvat (aktualizácia pred podpisom zmluvy),1.101,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/i75-sala_aktualizacia-hodnotenia-pred-podpisom-zmluvy.pdf,hodnotenie,1,0,None,None,Doprava
Cloud MIRRI SR,2.063,https://www.mfsr.sk/files/archiv/88/Cloud_MIRRI_SR_hodnotenie_UHP_20230221.pdf,analýza,1,0,None,None,Informatizacia
"D1 Beharovce – Branisko, 2. profil",1.112,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/doprava/hodnotenie_d1_beharovce-branisko.pdf,hodnotenie,2,1,štúdia uskutočniteľnosti,1.144,Doprava
"D1 Lietavská Lúčka – Dubná Skala, technológia tunela",1.045,https://www.mfsr.sk/files/archiv/36/hodnotenie_vfm_D1_aktualizacia_visnove_20211129.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.12,Doprava
"D1 Lietavská Lúčka – Dubná Skala, technológia tunela Višňové (aktualizácia pred podpisom zmluvy)",1.09,https://www.mfsr.sk/files/archiv/23/Hodnotenie-pred-podpisom-NDS-D1-Technologia-tunela-Visnove.pdf,analýza,1,0,None,None,Doprava
D1 Turany - Hubová,1.098,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/hodnotenie_d1_turany_hubova.pdf,analýza,1,0,None,None,Doprava
D3 Kysucké Nové Mesto - Oščadnica (III. etapa),1.087,https://www.mfsr.sk/files/archiv/30/Hodnotenie_D3_III-etapa_KNM_Oscadnica.pdf,analýza,1,0,None,None,Doprava
"D3 Oščadnica – Čadca, Bukov (II. etapa)",1.083,https://www.mfsr.sk/files/archiv/4/UHP_hodnotenie_D3-Oscadnica-Cadca-Bukov-II.pdf,analýza,1,0,None,None,Doprava
"D3 Oščadnica – Čadca, Bukov (aktualizácia)",1.099,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/doprava/aktualizacia-hodnotenia_d3_oscadnica_cadca-bukov.pdf,analýza,1,0,None,None,Doprava
"D3 Žilina, Brodno – Kysucké Nové Mesto (I. etapa)",1.078,https://www.mfsr.sk/files/archiv/63/Hodnotenie_D3_etapa1.pdf,analýza,1,0,None,None,Doprava
"D3 Žilina, Brodno – Čadca, Bukov (IV. etapa)",1.093,https://www.mfsr.sk/files/archiv/71/Hodnotenie-D3_4-etapa.pdf,analýza,1,0,None,None,Doprava
"D4 Bratislava, Rača – Záhorská Bystrica (tunel Karpaty)",1.081,https://www.mfsr.sk/files/archiv/17/Hodnotenie_D4_tunel-Karpaty_20230420.pdf,analýza,1,0,None,None,Doprava
"Diaľnica D1 Bratislava - Senec, 1. úsek Bratislava – Triblavina, I. a II. etapa (aktualizácia)",1.072,https://www.mfsr.sk/files/archiv/4/hodnotenie_vfm_D1_Triblavina_20221121.pdf,analýza,1,0,None,None,Doprava
"Diaľnica D1 Bratislava – Senec, 1. úsek Bratislava – Triblavina, I. a II. etapa (Výstavba križovatky D1 a D4, rozšírenie a rekonštrukcia D1)",1.04,https://www.mfsr.sk/files/archiv/38/stanovisko_vfm_rozsirenie_D1_kriz_D4_20210507.pdf,analýza,2,1,štúdia uskutočniteľnosti,1.131,Doprava
"Diaľnica D3, Žilina, Strážov – štátna hranica SR/PR",1.06,https://www.mfsr.sk/files/archiv/69/Hodnotenie_vfm_NDS_D3_20220622.pdf,analýza,1,0,None,None,Doprava
Digitalizácia a modernizácia elektronických služieb štátnych archívov v európskom kontexte,2.058,https://www.mfsr.sk/files/archiv/92/Hodnotenie_UHP_digitalizaciaarchivov_20221110.pdf,analýza,1,0,None,None,Informatizacia
Digitálna infraštruktúra škôl,2.061,https://www.mfsr.sk/files/archiv/91/Digitalna_infrastruktura_hodnotenie_UHP_20230118.pdf,analýza,1,0,None,None,Informatizacia
Digitálna infraštruktúra škôl (aktualizácia),2.092,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia-investicnych-projektov/it/digi_infra_skoly_aktualizacia_uhp.pdf,hodnotenie,1,0,None,None,Informatizacia
Digitálna infraštruktúra škôl – časť Národný centrálny uzol (NCU),2.094,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_narodny_centralny_uzol_msvvam.pdf,hodnotenie,1,0,None,None,Informatizacia
Digitálne vybavenie škôl,2.06,https://www.mfsr.sk/files/archiv/22/Hodnotenie_UHP_DigVybavenieSkol_20230118.pdf,analýza,1,0,None,None,Informatizacia
Digitálny ekosystém inklúzie,2.022,https://www.mfsr.sk/files/archiv/83/DEI_UHP_hodnotenie_20190220_1030.pdf,analýza,1,0,None,None,Informatizacia
Distribuovaný informačný ekosystém pre udržateľný rast a prax špecialistov informačných a komunikačných technológií (rozvoj NetAcad),2.103,https://www.mfsr.sk/files/sk/financie/hodnota-za-peniaze/hodnotenia/informatizacia/hodnotenie_netacad.pdf,hodnotenie,1,0,None,None,Informatizacia
Dopravný uzol Bratislava,1.07,https://www.mfsr.sk/files/archiv/63/Hodnotenie_uzol-BA_20221103.pdf,analýza,1,0,None,None,Doprava
