,,Recommendation,Recommendation,Recommendation,Recommendation,Recommendation,Conformity_Score
Model,,Claude,GPT-5.1,Gemini,Mistral,OpenAI,
Document_ID,Project_Name,,,,,,
1.001,Hodnota za peniaze v nákupe rýchlikových vozňov ZSSK,Negative,Neutral,Neutral,Neutral,Neutral,80.0
1.012,Modernizácia elektronickej komunikačnej siete ŽSR,Negative,Neutral,Neutral,Negative,Neutral,60.0
1.014,"ŽSR, Elektrifikácia trate Haniska – Veľká Ida – Moldava nad Bodvou mesto",Negative,Negative,Negative,Negative,Negative,100.0
1.036,Modernizácia vozového parku ZSSK časti 6 a 7,Negative,Negative,Negative,Negative,Negative,100.0
1.045,"D1 Lietavská Lúčka – Dubná Skala, technológia tunela",Positive,Positive,Positive,Positive,Positive,100.0
1.056,ŽSR Zvýšenie priepustnosti trate Bratislava - Dunajská Streda - Komárno,Negative,Negative,Negative,Negative,Neutral,80.0
1.064,Poskytovanie mýtnych služieb – opakovanie verejného obstarávania,Neutral,Neutral,Neutral,Neutral,Neutral,100.0
1.069,Modernizácia železničnej trate Hronský Beňadik – Nová Baňa,Positive,Positive,Positive,Neutral,Neutral,60.0
1.073,Nákup 5 ks ekologických koľajových vozidiel pre osobnú dopravu,Positive,Positive,Positive,Positive,Positive,100.0
1.075,Nákup 26 ks dieselových motorových jednotiek pre osobnú dopravu,Positive,Neutral,Positive,Neutral (with conditional positive potential),Neutral,40.0
1.081,"D4 Bratislava, Rača – Záhorská Bystrica (tunel Karpaty)",Negative,Neutral,Negative,Negative,Neutral,60.0
1.084,"Rýchlostná cesta R4 Prešov – severný obchvat, II. etapa (aktualizácia)",Neutral,Positive,Neutral,Neutral,Neutral,80.0
1.087,D3 Kysucké Nové Mesto - Oščadnica (III. etapa),Negative,Negative,Negative,Negative,Negative,100.0
1.094,Koncepčná štúdia severojužného cestného prepojenia v oblasti stredného Slovenska,Neutral,Neutral,Neutral,Neutral,Neutral,100.0
1.108,Nákup 4 elektrických jednotiek pre linku Bratislava – Žilina,Positive,Positive,Positive,Positive,Positive,100.0
1.109,Nákup lôžkových vozňov (aktualizácia),Negative,Neutral,Negative,Neutral,Neutral,60.0
1.112,"D1 Beharovce – Branisko, 2. profil",Positive,Positive,Positive,Positive,Neutral,80.0
1.136,Nákup diagnostických vozidiel ŽSR,Neutral,Neutral,Neutral,Neutral,Neutral,100.0
2.001,Centrálny ekonomický systém,Positive,Positive,Positive,Positive,Positive,100.0
2.008,"Zvyšovanie úžitkovej hodnoty digitálnych služieb pre občanov, podnikateľov a inštitúcie verejnej správy",Positive,Positive,Positive,Positive,Positive,100.0
2.012,"IT projekty Ministerstva vnútra SR (Centrálne komponenty verejnej správy, Riadenie procesov a dát pre OÚ, PZ a HaZZ, Digitálne pracovné prostredie zamestnanca MV SR)",Neutral,Neutral,Neutral,Neutral,Neutral,100.0
2.013,Inklúzia prostredníctvom komplexného elektronického riešenia problematiky parkovania osôb s ťažkým zdravotným postihnutím,Positive,Neutral,Positive,Neutral,Neutral,60.0
2.017,Optimalizácia procesov riadenia a prevádzky Zboru väzenskej a justičnej stráže,Positive,Positive,Positive,Positive,Positive,100.0
2.018,Online procesy eZdravia,Positive,Positive,Positive,Positive,Positive,100.0
2.019,Zabezpečenie efektívneho používania služieb ESO1 poskytovateľmi zdravotnej starostlivosti na celom území SR (projekt ESO1 – D),Positive,Positive,Positive,Positive,Positive,100.0
2.022,Digitálny ekosystém inklúzie,Neutral,Neutral,Neutral,Neutral,Neutral,100.0
2.023,Pamiatkový informačný systém,Positive,Positive,Positive,Positive,Positive,100.0
2.026,Modernizácia dávkových agend Sociálnej poisťovne,Positive,Positive,Positive,Positive,Positive,100.0
2.029,"Sčítanie obyvateľov, domov a bytov 2021",Positive,Positive,Positive,Positive,Positive,100.0
2.031,Konsolidovaná analytická vrstva,Negative,Neutral,Negative,Negative,Neutral,60.0
2.038,Centrum ochrany kritickej infraštruktúry a podpora činností v oblasti krízového riadenia Slovenskej republiky v gescii MH SR,Positive,Positive,Positive,Positive,Positive,100.0
2.055,Zvýšenie kapacity vládneho cloudu v Datacentre Kopčianska (aktualizácia),Neutral,Neutral,Neutral,Neutral,Neutral,100.0
2.072,Komplexné riešenie výrobných liniek dokladov občanov a cudzincov,Negative,Neutral,Neutral,Neutral,Neutral,80.0
2.078,Obnova desktopových licencií pre kapitolu Ministerstva financií Slovenskej republiky,Neutral,Neutral,Neutral,Neutral,Neutral,100.0
2.085,Informačný systém FARMÁR,Negative,Neutral,Neutral,Negative,Negative,60.0
2.086,Centrálna rámcová dohoda SAP - dodatok č. 1 (aktualizácia),Negative,Neutral,Neutral,Neutral,Neutral,80.0
2.088,Vývoj a konštrukcia superpočítača pre národné superpočítačové centrum (aktualizácia),Negative,Neutral,Neutral,Negative,Neutral,60.0
2.092,Digitálna infraštruktúra škôl (aktualizácia),Negative,Neutral,Neutral,Neutral,Neutral,80.0
2.093,Zabezpečenie výpočtovej techniky na lokalitách v rámci celej SR (aktualizácia),Negative,Neutral,Neutral,Neutral,Neutral,80.0
2.102,Informačný systém FARMÁR (aktualizácia),Negative,Neutral,Neutral,Negative,Neutral,60.0
2.11,Hodnota za peniaze projektu ESKO 2,Positive,Positive,Positive,Positive,Positive,100.0
3.009,Komplexná rekonštrukcia historickej budovy Slovenského národného divadla,Positive,Positive,Positive,Positive,Positive,100.0
3.012,Reforma súdnej mapy v Bratislave,Positive,Neutral,Positive,Positive,Positive,80.0
3.018,Rekonštrukcia Nemocnice Poprad (aktualizácia),Positive,Positive,Positive,Positive,Positive,100.0
3.03,Reforma súdnej mapy v Bratislave (aktualizácia),Neutral,Neutral,Positive,Neutral,Neutral,80.0
4.001,Nákup bojových obrnených vozidiel 8x8 a 4x4,Neutral,Neutral,Neutral,Neutral,Neutral,100.0
